type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,320000.0,998.0,58.16,3.0,5.0,wagon r,maruti,142244,pune,fwd,8
hatchback,manual,cng,350000.0,796.0,47.3,3.0,5.0,alto 800,maruti,1541,pune,fwd,6
muv,manual,cng,1200000.0,1462.0,86.63,4.0,6.0,xl6,maruti,15000,bhopal,2wd,4
minivans,manual,cng,350000.0,1196.0,61.68,4.0,5.0,eeco,maruti,42158,gurgaon,,6
hatchback,manual,cng,325000.0,796.0,40.3,3.0,5.0,alto 800,maruti,90000,vadodara,fwd,7
hatchback,manual,cng,630000.0,1197.0,68.05,4.0,5.0,grand i10 nios,hyundai,40000,vasai,,6
hatchback,manual,cng,585000.0,998.0,58.33,3.0,5.0,wagon r,maruti,56000,noida,fwd,7
hatchback,manual,cng,670000.0,998.0,55.92,3.0,5.0,celerio,maruti,1008,new delhi,,4
hatchback,manual,cng,345000.0,998.0,58.16,3.0,5.0,wagon r,maruti,71400,mumbai,fwd,12
hatchback,manual,cng,400000.0,998.0,58.16,3.0,5.0,wagon r,maruti,49500,mumbai,fwd,11
hatchback,manual,cng,350000.0,998.0,58.16,3.0,5.0,wagon r,maruti,124502,gurgaon,fwd,11
sedan,manual,cng,400000.0,1197.0,65.39,4.0,5.0,xcent prime,hyundai,79153,gurgaon,,8
sedan,manual,cng,200000.0,1586.0,103.3,4.0,5.0,sx4,maruti,81982,gurgaon,fwd,16
hatchback,manual,cng,550000.0,998.0,55.92,3.0,5.0,celerio,maruti,11808,gurgaon,,4
muv,manual,cng,1075000.0,1462.0,91.19,4.0,7.0,ertiga,maruti,37818,gurgaon,fwd,5
minivans,manual,cng,500000.0,1196.0,61.7,4.0,5.0,eeco,maruti,33356,new delhi,rwd,9
hatchback,manual,cng,400000.0,998.0,58.2,3.0,5.0,celerio,maruti,48752,pune,fwd,10
hatchback,manual,cng,301000.0,998.0,58.2,3.0,5.0,celerio,maruti,70000,agra,fwd,11
hatchback,manual,cng,475000.0,998.0,67.04,3.0,5.0,wagon r,maruti,17519,mumbai,fwd,8
